6 racers   RTP 0.95   places [0.6,0.3,0.1]   120 outcome zones

racer        elo   strength    P(win)           P(1)     P(2)     P(3)     odds m   rtp     stdev
Ace         1800  31622.777    47.498%    47.498%  29.190%  15.289%     2.4494   0.9500  0.539
Bolt        1650  13335.214    20.030%    20.030%  25.413%  24.560%     4.2991   0.9500  0.948
Cinder      1600  10000.000    15.020%    15.020%  20.165%  24.027%     5.4397   0.9500  1.143
Dash        1500   5623.413     8.447%     8.447%  12.053%  16.802%     9.1663   0.9500  1.645
Ember       1450   4216.965     6.334%     6.334%   9.195%  13.275%    12.0462   0.9500  1.949
Flint       1300   1778.279     2.671%     2.671%   3.985%   6.046%    27.9195   0.9500  3.140

zones (decreasing probability, first 12):
zone  top-K finish                  P            RN [from, to)
   0  Ace › Bolt › Cinder              8.382%   [0.000000, 0.083821)
   1  Ace › Cinder › Bolt              7.262%   [0.083821, 0.156439)
   2  Bolt › Ace › Cinder              5.503%   [0.156439, 0.211469)
   3  Ace › Bolt › Dash                4.714%   [0.211469, 0.258605)
   4  Cinder › Ace › Bolt              4.486%   [0.258605, 0.303470)
   5  Ace › Bolt › Ember               3.535%   [0.303470, 0.338817)
   6  Ace › Dash › Bolt                3.474%   [0.338817, 0.373560)
   7  Bolt › Ace › Dash                3.095%   [0.373560, 0.404505)
   8  Ace › Cinder › Dash              3.062%   [0.404505, 0.435128)
   9  Bolt › Cinder › Ace              2.751%   [0.435128, 0.462641)
  10  Ace › Dash › Cinder              2.605%   [0.462641, 0.488694)
  11  Cinder › Bolt › Ace              2.589%   [0.488694, 0.514585)
  … 108 more
