races 200000  rtp 0.95  M3 1.4   Σq1 1.000000 Σq2 1.000000 Σq3 1.000000
racer  elo   q1       q2       q3       top3     x=M1=M2   feasible  designRTP  simRTP   ±se      stdev
    1 1850   26.97%   22.06%   17.33%   66.36%     1.443  yes       0.9500     0.9483  0.0015  0.677
    2 1780   18.02%   17.44%   16.12%   51.59%     2.042  yes       0.9500     0.9506  0.0021  0.945
    3 1720   12.76%   13.28%   13.56%   39.61%     2.919  yes       0.9500     0.9516  0.0028  1.258
    4 1680   10.14%   10.89%   11.60%   32.63%     3.746  yes       0.9500     0.9463  0.0034  1.507
    5 1640    8.05%    8.85%    9.72%   26.63%     4.814  yes       0.9500     0.9537  0.0040  1.794
    6 1600    6.40%    7.16%    8.04%   21.59%     6.180  yes       0.9500     0.9524  0.0047  2.107
    7 1560    5.08%    5.76%    6.58%   17.42%     7.915  yes       0.9500     0.9507  0.0055  2.455
    8 1520    4.04%    4.62%    5.34%   14.00%    10.111  yes       0.9500     0.9528  0.0064  2.840
    9 1480    3.21%    3.70%    4.32%   11.22%    12.883  yes       0.9500     0.9608  0.0073  3.281
   10 1430    2.40%    2.79%    3.29%    8.49%    17.390  yes       0.9500     0.9372  0.0086  3.831
   11 1380    1.80%    2.11%    2.50%    6.41%    23.406  yes       0.9500     0.9565  0.0102  4.548
   12 1300    1.14%    1.34%    1.60%    4.07%    37.490  yes       0.9500     0.9358  0.0129  5.781
pooled RTP over 12 equal bettors: 0.9497
