easy   RTP 0.97   max win 10x   steps 10   step multiple 1.258925

step  event                  return   P(event)      RN [min, max)             survival≥   survival×return
   0  Instant crash               0     23.0159%   [0.000000, 0.230159)           -   
   1  Crash after 1.26         1.26     15.5917%   [0.230159, 0.386076)    0.769841   0.970000
   2  Crash after 1.58         1.58     12.8924%   [0.386076, 0.515000)    0.613924   0.970000
   3  Crash after 2               2      9.8546%   [0.515000, 0.613546)    0.485000   0.970000
   4  Crash after 2.51         2.51      7.9492%   [0.613546, 0.693038)    0.386454   0.970000
   5  Crash after 3.16         3.16      6.3243%   [0.693038, 0.756281)    0.306962   0.970000
   6  Crash after 3.98         3.98      5.0106%   [0.756281, 0.806387)    0.243719   0.970000
   7  Crash after 5.01         5.01      3.9889%   [0.806387, 0.846276)    0.193613   0.970000
   8  Crash after 6.31         6.31      3.1558%   [0.846276, 0.877834)    0.153724   0.970000
   9  Crash after 7.94         7.94      2.5166%   [0.877834, 0.903000)    0.122166   0.970000
  10  Golden egg at 10           10      9.7000%   [0.903000, 1.000000)    0.097000   0.970000
total                                   100.0000%
