hard   RTP 0.97   max win 100x   steps 10   step multiple 1.584893

step  event                  return   P(event)      RN [min, max)             survival≥   survival×return
   0  Instant crash               0     38.6076%   [0.000000, 0.386076)           -   
   1  Crash after 1.58         1.58     22.7470%   [0.386076, 0.613546)    0.613924   0.970000
   2  Crash after 2.51         2.51     14.2736%   [0.613546, 0.756281)    0.386454   0.970000
   3  Crash after 3.98         3.98      8.9994%   [0.756281, 0.846276)    0.243719   0.970000
   4  Crash after 6.31         6.31      5.6724%   [0.846276, 0.903000)    0.153724   0.970000
   5  Crash after 10             10      3.5801%   [0.903000, 0.938801)    0.097000   0.970000
   6  Crash after 15.85       15.85      2.2584%   [0.938801, 0.961385)    0.061199   0.970000
   7  Crash after 25.12       25.12      1.4249%   [0.961385, 0.975634)    0.038615   0.970000
   8  Crash after 39.81       39.81      0.8993%   [0.975634, 0.984628)    0.024366   0.970000
   9  Crash after 63.1         63.1      0.5672%   [0.984628, 0.990300)    0.015372   0.970000
  10  Golden egg at 100         100      0.9700%   [0.990300, 1.000000)    0.009700   0.970000
total                                   100.0000%
