medium   RTP 0.97   max win 25x   steps 10   step multiple 1.379730

step  event                  return   P(event)      RN [min, max)             survival≥   survival×return
   0  Instant crash               0     29.7101%   [0.000000, 0.297101)           -   
   1  Crash after 1.38         1.38     19.2372%   [0.297101, 0.489474)    0.702899   0.970000
   2  Crash after 1.9           1.9     14.1705%   [0.489474, 0.631179)    0.510526   0.970000
   3  Crash after 2.63         2.63     10.0865%   [0.631179, 0.732044)    0.368821   0.970000
   4  Crash after 3.62         3.62      7.3956%   [0.732044, 0.806000)    0.267956   0.970000
   5  Crash after 5               5      5.3420%   [0.806000, 0.859420)    0.194000   0.970000
   6  Crash after 6.9           6.9      3.8689%   [0.859420, 0.898109)    0.140580   0.970000
   7  Crash after 9.52         9.52      2.8014%   [0.898109, 0.926123)    0.101891   0.970000
   8  Crash after 13.13       13.13      2.0345%   [0.926123, 0.946468)    0.073877   0.970000
   9  Crash after 18.12       18.12      1.4732%   [0.946468, 0.961200)    0.053532   0.970000
  10  Golden egg at 25           25      3.8800%   [0.961200, 1.000000)    0.038800   0.970000
total                                   100.0000%
